,id,Title,Thumbnail,Short Description,Game URL,Genre,Platform,Publisher,Developer,Release Date,FreeToGame Profile URL
51,614,Dungeon Stalker,https://www.freetogame.com/g/614/thumbnail.jpg,A free-to-play dungeon crawler with survival elements.,https://www.freetogame.com/open/dungeon-stalker,Dungeon Crawler,PC (Windows),OneUniverse,OneUniverse,2025-08-13,https://www.freetogame.com/dungeon-stalker
52,611,Mecha BREAK,https://www.freetogame.com/g/611/thumbnail.jpg,A team-based third-person shooter featuring mechs.,https://www.freetogame.com/open/mecha-break,Shooter,PC (Windows),Amazing Seasun Games,Amazing Seasun Games,2025-07-01,https://www.freetogame.com/mecha-break
53,612,Terminull Brigade,https://www.freetogame.com/g/612/thumbnail.jpg,A free-to-play third-person looter-shooter with customizable characters.,https://www.freetogame.com/open/terminull-brigade,Shooter,PC (Windows),Pew Pew Games,Pew Pew Games,2025-07-29,https://www.freetogame.com/terminull-brigade
54,633,Umamusume: Pretty Derby,https://www.freetogame.com/g/633/thumbnail.jpg,A free-to-play gacha-style sports game featuring racing horse-girls.,https://www.freetogame.com/open/umamusume-pretty-derby,Sports,PC (Windows),"Cygames, Inc.","Cygames, Inc.",2025-06-24,https://www.freetogame.com/umamusume-pretty-derby
55,609,Crystal Of Atlan,https://www.freetogame.com/g/609/thumbnail.jpg,A magicpunk MMORPG from Nuverse.,https://www.freetogame.com/open/crystal-of-atlan,MMORPG,PC (Windows),Skystone Games,Nuverse,2025-05-26,https://www.freetogame.com/crystal-of-atlan
56,610,Splitgate: Arena Reloaded,https://www.freetogame.com/g/610/thumbnail.jpg,A free-to-play shooter using portals.,https://www.freetogame.com/open/splitgate-arena-reloaded,Shooter,PC (Windows),1047 Games,1047 Games,2025-05-22,https://www.freetogame.com/splitgate-arena-reloaded
57,606,Steel Hunters,https://www.freetogame.com/g/606/thumbnail.jpg,A post-apocalyptic extraction shooter with giant mechs.,https://www.freetogame.com/open/steel-hunters,Shooter,PC (Windows),Wargaming ,Wargaming,2025-04-02,https://www.freetogame.com/steel-hunters
58,607,The Lost Glitches,https://www.freetogame.com/g/607/thumbnail.jpg,A cyberpunk RPG trading card game from Honig Studios.,https://www.freetogame.com/open/the-lost-glitches,Card Game,PC (Windows),Honig Studios GmbH,Mimunga LLC,2025-04-29,https://www.freetogame.com/the-lost-glitches
59,608,Odin: Valhalla Rising,https://www.freetogame.com/g/608/thumbnail.jpg,An open-world MMORPG based on Norse mythology.,https://www.freetogame.com/open/odin-valhalla-rising,MMORPG,PC (Windows),Kakao Games,Lionheart Studios,2025-04-29,https://www.freetogame.com/odin-valhalla-rising
60,603,War Robots: Frontiers,https://www.freetogame.com/g/603/thumbnail.jpg,A multiplayer mech game set in a planetary system light years from Earth.,https://www.freetogame.com/open/war-robots-frontiers,Shooter,PC (Windows),My.games,My.games,2025-03-04,https://www.freetogame.com/war-robots-frontiers
